Year,ZipCode,fpPopulation,Population,dif,pctDiff
2011,98263,407.2,0.0,407.2,inf
2012,98263,403.756,0.0,403.756,inf
2013,98263,400.443,0.0,400.443,inf
2014,98263,401.312,0.0,401.312,inf
2015,98263,398.304,0.0,398.304,inf
2016,98263,399.594,0.0,399.594,inf
2017,98263,399.443,0.0,399.443,inf
2018,98263,396.685,0.0,396.685,inf
2019,98263,387.181,0.0,387.181,inf
2020,98263,384.131,449.117,-64.987,-0.145
2011,98286,241.394,0.0,241.394,inf
2012,98286,241.488,0.0,241.488,inf
2013,98286,240.342,0.0,240.342,inf
2014,98286,239.319,0.0,239.319,inf
2015,98286,237.373,243.248,-5.875,-0.024
2016,98286,238.117,245.058,-6.941,-0.028
2017,98286,238.696,246.818,-8.122,-0.033
2018,98286,244.479,254.274,-9.795,-0.039
2019,98286,249.549,261.313,-11.764,-0.045
2020,98286,249.084,261.83,-12.746,-0.049
2011,98357,1314.261,0.0,1314.261,inf
2012,98357,1348.451,0.0,1348.451,inf
2013,98357,1382.203,0.0,1382.203,inf
2014,98357,1414.131,0.0,1414.131,inf
2015,98357,1446.201,0.0,1446.201,inf
2016,98357,1489.58,0.0,1489.58,inf
2017,98357,1531.538,0.0,1531.538,inf
2018,98357,1575.352,0.0,1575.352,inf
2019,98357,1617.029,1337.264,279.765,0.209
2020,98357,1656.215,1342.083,314.132,0.234
2011,98364,72.291,0.0,72.291,inf
2012,98364,75.891,0.0,75.891,inf
2013,98364,80.595,0.0,80.595,inf
2014,98364,84.622,0.0,84.622,inf
2015,98364,88.799,0.0,88.799,inf
2016,98364,93.965,0.0,93.965,inf
2017,98364,99.042,0.0,99.042,inf
2018,98364,102.521,0.0,102.521,inf
2019,98364,104.042,0.0,104.042,inf
2020,98364,108.299,74.04,34.258,0.463
2011,98385,409.84,0.0,409.84,inf
2012,98385,397.547,0.0,397.547,inf
2013,98385,385.738,0.0,385.738,inf
2014,98385,374.324,0.0,374.324,inf
2015,98385,363.516,421.464,-57.949,-0.137
2016,98385,352.801,421.493,-68.692,-0.163
2017,98385,342.721,421.495,-78.774,-0.187
2018,98385,332.832,421.5,-88.668,-0.21
2019,98385,352.441,465.413,-112.972,-0.243
2020,98385,353.996,484.883,-130.887,-0.27
2011,98396,490.399,0.0,490.399,inf
2012,98396,498.796,0.0,498.796,inf
2013,98396,498.289,0.0,498.289,inf
2014,98396,497.426,0.0,497.426,inf
2015,98396,497.095,0.0,497.095,inf
2016,98396,501.788,0.0,501.788,inf
2017,98396,503.463,488.658,14.805,0.03
2018,98396,504.59,488.664,15.925,0.033
2019,98396,505.82,532.619,-26.799,-0.05
2020,98396,511.399,540.177,-28.778,-0.053
2011,98530,563.553,0.0,563.553,inf
2012,98530,563.095,0.0,563.095,inf
2013,98530,562.803,0.0,562.803,inf
2014,98530,562.512,0.0,562.512,inf
2015,98530,567.457,0.0,567.457,inf
2016,98530,570.004,0.0,570.004,inf
2017,98530,578.896,0.0,578.896,inf
2018,98530,574.641,0.0,574.641,inf
2019,98530,579.951,590.252,-10.301,-0.017
2020,98530,580.354,590.482,-10.128,-0.017
2011,98539,101.726,0.0,101.726,inf
2012,98539,100.566,0.0,100.566,inf
2013,98539,98.823,0.0,98.823,inf
2014,98539,97.005,0.0,97.005,inf
2015,98539,95.619,0.0,95.619,inf
2016,98539,94.094,0.0,94.094,inf
2017,98539,92.92,107.748,-14.828,-0.138
2018,98539,91.702,108.552,-16.85,-0.155
2019,98539,90.538,107.397,-16.859,-0.157
2020,98539,89.226,107.42,-18.194,-0.169
2011,98558,318.65,0.0,318.65,inf
2012,98558,315.608,0.0,315.608,inf
2013,98558,310.524,0.0,310.524,inf
2014,98558,304.124,0.0,304.124,inf
2015,98558,299.498,0.0,299.498,inf
2016,98558,295.611,0.0,295.611,inf
2017,98558,294.979,0.0,294.979,inf
2018,98558,294.118,0.0,294.118,inf
2019,98558,280.907,101.076,179.831,1.779
2020,98558,276.776,327.835,-51.059,-0.156
2011,98565,243.041,0.0,243.041,inf
2012,98565,260.169,0.0,260.169,inf
2013,98565,274.574,0.0,274.574,inf
2014,98565,299.246,0.0,299.246,inf
2015,98565,315.039,0.0,315.039,inf
2016,98565,330.992,0.0,330.992,inf
2017,98565,347.901,0.0,347.901,inf
2018,98565,366.347,0.0,366.347,inf
2019,98565,378.193,250.394,127.8,0.51
2020,98565,392.274,249.67,142.604,0.571
2011,98566,21.201,0.0,21.201,inf
2012,98566,24.558,0.0,24.558,inf
2013,98566,27.939,0.0,27.939,inf
2014,98566,31.239,0.0,31.239,inf
2015,98566,34.52,0.0,34.52,inf
2016,98566,37.575,0.0,37.575,inf
2017,98566,40.393,0.0,40.393,inf
2018,98566,44.075,0.0,44.075,inf
2019,98566,47.561,0.0,47.561,inf
2020,98566,51.294,17.898,33.396,1.866
2011,98614,569.306,0.0,569.306,inf
2012,98614,567.962,583.154,-15.192,-0.026
2013,98614,566.449,585.477,-19.028,-0.033
2014,98614,569.316,591.825,-22.508,-0.038
2015,98614,569.638,595.433,-25.795,-0.043
2016,98614,567.579,596.273,-28.694,-0.048
2017,98614,566.018,597.479,-31.461,-0.053
2018,98614,566.458,600.92,-34.462,-0.057
2019,98614,573.261,612.253,-38.991,-0.064
2020,98614,574.972,616.521,-41.55,-0.067
2011,98639,893.689,0.0,893.689,inf
2012,98639,920.017,0.0,920.017,inf
2013,98639,919.09,0.0,919.09,inf
2014,98639,914.669,942.134,-27.464,-0.029
2015,98639,909.818,945.029,-35.211,-0.037
2016,98639,905.233,945.026,-39.792,-0.042
2017,98639,904.28,949.615,-45.335,-0.048
2018,98639,904.205,954.297,-50.092,-0.052
2019,98639,911.749,968.066,-56.316,-0.058
2020,98639,911.88,972.639,-60.759,-0.062
2011,98641,107.694,0.0,107.694,inf
2012,98641,108.278,0.0,108.278,inf
2013,98641,111.365,0.0,111.365,inf
2014,98641,117.077,0.0,117.077,inf
2015,98641,116.841,206.662,-89.821,-0.435
2016,98641,117.601,113.556,4.045,0.036
2017,98641,120.174,114.416,5.758,0.05
2018,98641,123.763,116.901,6.862,0.059
2019,98641,128.968,119.332,9.636,0.081
2020,98641,129.363,118.576,10.787,0.091
2011,98644,621.145,0.0,621.145,inf
2012,98644,631.806,0.0,631.806,inf
2013,98644,632.618,0.0,632.618,inf
2014,98644,645.2,602.993,42.207,0.07
2015,98644,671.209,603.431,67.777,0.112
2016,98644,681.426,491.913,189.513,0.385
2017,98644,706.528,586.653,119.875,0.204
2018,98644,729.73,591.983,137.747,0.233
2019,98644,757.261,602.636,154.625,0.257
2020,98644,770.868,603.962,166.905,0.276
2011,98673,345.162,0.0,345.162,inf
2012,98673,342.446,0.0,342.446,inf
2013,98673,340.273,0.0,340.273,inf
2014,98673,341.351,0.0,341.351,inf
2015,98673,338.824,343.322,-4.497,-0.013
2016,98673,337.555,344.138,-6.583,-0.019
2017,98673,337.533,344.868,-7.335,-0.021
2018,98673,338.09,345.278,-7.187,-0.021
2019,98673,339.382,346.968,-7.586,-0.022
2020,98673,339.228,347.761,-8.533,-0.025
2011,98817,365.866,0.0,365.866,inf
2012,98817,368.673,0.0,368.673,inf
2013,98817,374.315,0.0,374.315,inf
2014,98817,382.043,0.0,382.043,inf
2015,98817,388.922,0.0,388.922,inf
2016,98817,395.88,0.0,395.88,inf
2017,98817,403.004,0.0,403.004,inf
2018,98817,409.136,392.198,16.938,0.043
2019,98817,405.576,385.348,20.228,0.052
2020,98817,410.823,386.464,24.359,0.063
2011,98819,188.419,0.0,188.419,inf
2012,98819,179.053,0.0,179.053,inf
2013,98819,179.913,0.0,179.913,inf
2014,98819,189.849,0.0,189.849,inf
2015,98819,186.107,0.0,186.107,inf
2016,98819,183.745,0.0,183.745,inf
2017,98819,180.279,0.0,180.279,inf
2018,98819,180.608,0.0,180.608,inf
2019,98819,176.66,199.758,-23.099,-0.116
2020,98819,173.105,201.027,-27.922,-0.139
2011,98821,222.639,0.0,222.639,inf
2012,98821,219.512,0.0,219.512,inf
2013,98821,210.989,0.0,210.989,inf
2014,98821,208.913,0.0,208.913,inf
2015,98821,206.332,0.0,206.332,inf
2016,98821,204.365,0.0,204.365,inf
2017,98821,200.92,0.0,200.92,inf
2018,98821,197.291,0.0,197.291,inf
2019,98821,194.875,225.306,-30.431,-0.135
2020,98821,192.272,226.08,-33.808,-0.15
2011,98829,271.58,0.0,271.58,inf
2012,98829,273.891,0.0,273.891,inf
2013,98829,271.582,0.0,271.582,inf
2014,98829,270.628,0.0,270.628,inf
2015,98829,270.174,0.0,270.174,inf
2016,98829,264.4,0.0,264.4,inf
2017,98829,263.965,0.0,263.965,inf
2018,98829,263.416,0.0,263.416,inf
2019,98829,262.063,296.46,-34.397,-0.116
2020,98829,262.698,277.261,-14.563,-0.053
2011,98836,422.153,0.0,422.153,inf
2012,98836,422.164,0.0,422.164,inf
2013,98836,421.537,0.0,421.537,inf
2014,98836,419.893,0.0,419.893,inf
2015,98836,415.816,0.0,415.816,inf
2016,98836,422.431,0.0,422.431,inf
2017,98836,409.886,0.0,409.886,inf
2018,98836,407.881,0.0,407.881,inf
2019,98836,389.311,433.691,-44.379,-0.102
2020,98836,367.421,408.735,-41.313,-0.101
2011,98853,33.207,0.0,33.207,inf
2012,98853,32.503,0.0,32.503,inf
2013,98853,31.767,0.0,31.767,inf
2014,98853,31.278,0.0,31.278,inf
2015,98853,30.553,0.0,30.553,inf
2016,98853,29.84,0.0,29.84,inf
2017,98853,29.127,0.0,29.127,inf
2018,98853,28.404,0.0,28.404,inf
2019,98853,27.168,33.172,-6.004,-0.181
2020,98853,26.41,33.023,-6.614,-0.2
2011,98860,248.595,0.0,248.595,inf
2012,98860,244.757,0.0,244.757,inf
2013,98860,244.522,0.0,244.522,inf
2014,98860,237.702,0.0,237.702,inf
2015,98860,233.989,0.0,233.989,inf
2016,98860,230.126,0.0,230.126,inf
2017,98860,236.001,0.0,236.001,inf
2018,98860,226.258,261.517,-35.259,-0.135
2019,98860,225.546,266.179,-40.633,-0.153
2020,98860,220.954,263.532,-42.578,-0.162
2011,98925,499.243,0.0,499.243,inf
2012,98925,490.326,0.0,490.326,inf
2013,98925,485.598,0.0,485.598,inf
2014,98925,470.984,0.0,470.984,inf
2015,98925,453.999,0.0,453.999,inf
2016,98925,450.441,0.0,450.441,inf
2017,98925,454.143,0.0,454.143,inf
2018,98925,457.169,0.0,457.169,inf
2019,98925,448.172,551.999,-103.827,-0.188
2020,98925,435.041,547.097,-112.055,-0.205
2011,98934,1133.766,0.0,1133.766,inf
2012,98934,1142.757,1168.716,-25.959,-0.022
2013,98934,1137.237,1172.436,-35.199,-0.03
2014,98934,1151.247,1192.673,-41.426,-0.035
2015,98934,1130.964,1176.316,-45.352,-0.039
2016,98934,1130.734,1180.478,-49.745,-0.042
2017,98934,1153.738,1213.198,-59.46,-0.049
2018,98934,1162.757,1225.794,-63.037,-0.051
2019,98934,1168.658,1237.228,-68.57,-0.055
2020,98934,1168.36,1237.54,-69.18,-0.056
2011,98939,125.404,0.0,125.404,inf
2012,98939,125.155,0.0,125.155,inf
2013,98939,130.938,0.0,130.938,inf
2014,98939,142.352,0.0,142.352,inf
2015,98939,141.817,0.0,141.817,inf
2016,98939,140.748,0.0,140.748,inf
2017,98939,141.367,0.0,141.367,inf
2018,98939,145.42,0.0,145.42,inf
2019,98939,148.382,143.421,4.961,0.035
2020,98939,150.999,147.596,3.404,0.023
2011,98940,579.824,0.0,579.824,inf
2012,98940,592.803,0.0,592.803,inf
2013,98940,603.52,0.0,603.52,inf
2014,98940,594.76,783.888,-189.128,-0.241
2015,98940,602.897,807.884,-204.987,-0.254
2016,98940,610.216,833.032,-222.816,-0.267
2017,98940,630.78,880.222,-249.442,-0.283
2018,98940,636.12,924.421,-288.301,-0.312
2019,98940,658.121,976.894,-318.773,-0.326
2020,98940,684.725,1035.421,-350.696,-0.339
2011,98941,925.87,0.0,925.87,inf
2012,98941,926.233,890.674,35.559,0.04
2013,98941,927.053,887.887,39.166,0.044
2014,98941,927.359,887.818,39.542,0.045
2015,98941,925.708,883.137,42.571,0.048
2016,98941,929.004,883.593,45.411,0.051
2017,98941,932.801,883.731,49.07,0.056
2018,98941,950.293,893.977,56.316,0.063
2019,98941,951.563,935.866,15.697,0.017
2020,98941,956.275,932.293,23.982,0.026
2011,98943,458.92,0.0,458.92,inf
2012,98943,455.705,0.0,455.705,inf
2013,98943,456.636,0.0,456.636,inf
2014,98943,457.557,0.0,457.557,inf
2015,98943,459.008,0.0,459.008,inf
2016,98943,461.173,0.0,461.173,inf
2017,98943,462.969,0.0,462.969,inf
2018,98943,464.769,469.842,-5.074,-0.011
2019,98943,470.466,474.199,-3.733,-0.008
2020,98943,474.449,474.082,0.368,0.001
2011,98950,68.335,0.0,68.335,inf
2012,98950,66.07,0.0,66.07,inf
2013,98950,64.168,0.0,64.168,inf
2014,98950,60.729,0.0,60.729,inf
2015,98950,58.36,0.0,58.36,inf
2016,98950,56.334,0.0,56.334,inf
2017,98950,54.802,0.0,54.802,inf
2018,98950,54.307,0.0,54.307,inf
2019,98950,51.816,79.638,-27.822,-0.349
2020,98950,50.496,80.893,-30.397,-0.376
2011,99039,100.54,0.0,100.54,inf
2012,99039,96.306,0.0,96.306,inf
2013,99039,99.964,0.0,99.964,inf
2014,99039,103.325,0.0,103.325,inf
2015,99039,99.617,0.0,99.617,inf
2016,99039,99.261,0.0,99.261,inf
2017,99039,106.515,0.0,106.515,inf
2018,99039,112.162,124.377,-12.215,-0.098
2019,99039,114.272,129.361,-15.089,-0.117
2020,99039,117.374,134.33,-16.955,-0.126
2011,99124,179.27,0.0,179.27,inf
2012,99124,173.048,0.0,173.048,inf
2013,99124,170.154,0.0,170.154,inf
2014,99124,170.273,0.0,170.273,inf
2015,99124,193.862,0.0,193.862,inf
2016,99124,192.909,0.0,192.909,inf
2017,99124,190.104,0.0,190.104,inf
2018,99124,187.506,219.192,-31.686,-0.145
2019,99124,185.117,219.247,-34.131,-0.156
2020,99124,183.135,219.384,-36.249,-0.165
2011,99151,195.141,0.0,195.141,inf
2012,99151,202.346,0.0,202.346,inf
2013,99151,208.667,190.679,17.988,0.094
2014,99151,220.127,195.49,24.636,0.126
2015,99151,221.22,190.518,30.701,0.161
2016,99151,227.893,190.537,37.356,0.196
2017,99151,234.525,190.669,43.856,0.23
2018,99151,240.147,190.721,49.426,0.259
2019,99151,246.686,190.79,55.896,0.293
2020,99151,254.05,190.845,63.205,0.331
2011,99152,187.603,0.0,187.603,inf
2012,99152,186.545,0.0,186.545,inf
2013,99152,185.531,0.0,185.531,inf
2014,99152,194.199,0.0,194.199,inf
2015,99152,183.3,0.0,183.3,inf
2016,99152,186.952,0.0,186.952,inf
2017,99152,177.343,0.0,177.343,inf
2018,99152,176.524,0.0,176.524,inf
2019,99152,175.444,75.161,100.284,1.334
2020,99152,174.585,188.948,-14.363,-0.076
2011,99155,1547.433,0.0,1547.433,inf
2012,99155,1534.015,0.0,1534.015,inf
2013,99155,1515.853,0.0,1515.853,inf
2014,99155,1496.729,0.0,1496.729,inf
2015,99155,1490.075,0.0,1490.075,inf
2016,99155,1460.383,0.0,1460.383,inf
2017,99155,1448.953,0.0,1448.953,inf
2018,99155,1436.179,1539.503,-103.323,-0.067
2019,99155,1421.562,1540.813,-119.252,-0.077
2020,99155,1410.254,1544.547,-134.293,-0.087
2011,99329,128.034,0.0,128.034,inf
2012,99329,131.522,0.0,131.522,inf
2013,99329,135.111,0.0,135.111,inf
2014,99329,136.684,0.0,136.684,inf
2015,99329,135.266,0.0,135.266,inf
2016,99329,137.433,0.0,137.433,inf
2017,99329,134.318,0.0,134.318,inf
2018,99329,125.715,0.0,125.715,inf
2019,99329,128.145,105.213,22.932,0.218
2020,99329,130.637,105.285,25.352,0.241
2011,99346,260.199,0.0,260.199,inf
2012,99346,252.761,0.0,252.761,inf
2013,99346,247.637,0.0,247.637,inf
2014,99346,237.75,0.0,237.75,inf
2015,99346,227.258,0.0,227.258,inf
2016,99346,217.015,0.0,217.015,inf
2017,99346,208.072,0.0,208.072,inf
2018,99346,198.887,0.0,198.887,inf
2019,99346,198.367,291.248,-92.881,-0.319
2020,99346,193.171,297.562,-104.391,-0.351
2011,99359,120.129,0.0,120.129,inf
2012,99359,118.945,0.0,118.945,inf
2013,99359,117.843,0.0,117.843,inf
2014,99359,117.03,0.0,117.03,inf
2015,99359,116.308,0.0,116.308,inf
2016,99359,115.079,0.0,115.079,inf
2017,99359,114.165,0.0,114.165,inf
2018,99359,113.858,123.826,-9.968,-0.081
2019,99359,112.5,123.826,-11.325,-0.091
2020,99359,111.3,123.828,-12.528,-0.101
2011,99363,121.453,0.0,121.453,inf
2012,99363,120.234,0.0,120.234,inf
2013,99363,118.08,0.0,118.08,inf
2014,99363,115.435,0.0,115.435,inf
2015,99363,111.724,0.0,111.724,inf
2016,99363,109.046,0.0,109.046,inf
2017,99363,107.786,0.0,107.786,inf
2018,99363,105.828,0.0,105.828,inf
2019,99363,101.181,115.287,-14.106,-0.122
2020,99363,99.031,115.349,-16.318,-0.141
